AFG, Afghanistan, Asia,22720000,652090
AGO, Angola, Africa,12878000,1246700
ARE, United Arab Emirates, Asia,2441000,83600
ARG, Argentina, South America,37032000,2780400
ARM, Armenia, Asia,3520000,29800
ASM, American Samoa, Oceania,68000,199
AUS, Australia, Oceania,18886000,7741220
AUT, Austria, Europe,8091800,83859
CHL, Chile, South America,15211000,756626
CHN, China, Asia,1277558000,9572900
DEU, Germany, Europe,82164700,357022
EGY, Egypt, Africa,68470000,1001449
ESP, Spain, Europe,39441700,505992
EST, Estonia, Europe,1439200,45227
ETH, Ethiopia, Africa,62565000,1104300
IDN, Indonesia, Asia,212107000,1904569
IND, India, Asia,1013662000,3287263
URY, Uruguay, South America,3337000,175016
USA, United States,North America,278357000,9363520
ZMB, Zambia, Africa,9169000,752618
ZWE, Zimbabwe, Africa,11669000,390757
